Survey,Category #,Category Label,QID,Question Short Text,Lookup
PQRS,8,Care Coordination,H64AM,"In the last 6 months, how often did you and anyone on your health care team talk about all the prescription medicines you were taking?",PQRS-H64AM-Care Coordination
PQRS,9,Between Visit Communication,D61DA,"In the last 6 months, did this provider's office contact you to remind you to make an appointment for tests or treatment?",PQRS-D61DA-Between Visit Communication
PQRS,10,Helping You Take Medications as Directed,H64AO,"In the last 6 months, how often did this provider give you easy to understand instructions about how to take your medicines?",PQRS-H64AO-Helping You Take Medications as Directed
PQRS,10,Helping You Take Medications as Directed,Y4AO1,Was the written information this provider gave you easy to understand?,PQRS-Y4AO1-Helping You Take Medications as Directed
PQRS,10,Helping You Take Medications as Directed,Y64A1,"In the last 6 months, did this provider suggest ways to help you remember to take your medicines?",PQRS-Y64A1-Helping You Take Medications as Directed
PQRS,11,Stewardship of Patient Resources,Y64A2,"In the last 6 months, did you and anyone on your health care team talk about how much your prescription medicines cost?",PQRS-Y64A2-Stewardship of Patient Resources
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care,"CG-CAHPS 12 Month-H1DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care,"CG-CAHPS 12 Month-H1DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time,"CG-CAHPS 12 Month-H5DD-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours,"CG-CAHPS 12 Month-H9DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours,"CG-CAHPS 12 Month-H9DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3AA,Provider spends enough time with patient/parent,CG-CAHPS 12 Month-H3AA-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3CS,Provider's respect for patient/parent,CG-CAHPS 12 Month-H3CS-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3D,Provider's knowledge of patient's medical history,CG-CAHPS 12 Month-H3D-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3FF,Provider giving understandable instructions for care,CG-CAHPS 12 Month-H3FF-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3J,Clear communication by providers,CG-CAHPS 12 Month-H3J-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3O,Providers listening carefully to patients,CG-CAHPS 12 Month-H3O-How Well Providers Communicate With Patients
CG-CAHPS 12 Month,3,"Helpful, Courteous, and Respectful Office Staff",H9C,Office staff treating you with courtesy and respect,"CG-CAHPS 12 Month-H9C-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS 12 Month,3,"Helpful, Courteous, and Respectful Office Staff",H9H,Helpfulness of office staff,"CG-CAHPS 12 Month-H9H-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS 12 Month,4,Follow-up on Test Results,H4FC,Follow up with test results,CG-CAHPS 12 Month-H4FC-Follow-up on Test Results
CG-CAHPS 12 Month,5,Patients' Rating of the Provider,H30,Overall rating of provider,CG-CAHPS 12 Month-H30-Patients' Rating of the Provider
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care,"CG-CAHPS Visit-H1DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care,"CG-CAHPS Visit-H1DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time,"CG-CAHPS Visit-H5DD-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours,"CG-CAHPS Visit-H9DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours,"CG-CAHPS Visit-H9DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3AAA,Provider spends enough time with patient/parent,CG-CAHPS Visit-H3AAA-How Well Providers Communicate With Patients
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3CSA,Provider's respect for patient/parent,CG-CAHPS Visit-H3CSA-How Well Providers Communicate With Patients
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3DA,Provider's knowledge of patient's medical history,CG-CAHPS Visit-H3DA-How Well Providers Communicate With Patients
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3FFA,Provider giving understandable instructions for care,CG-CAHPS Visit-H3FFA-How Well Providers Communicate With Patients
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3JA,Clear communication by providers,CG-CAHPS Visit-H3JA-How Well Providers Communicate With Patients
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3OA,Providers listening carefully to patients,CG-CAHPS Visit-H3OA-How Well Providers Communicate With Patients
CG-CAHPS Visit,3,"Helpful, Courteous, and Respectful Office Staff",H9CA,Office staff treating you with courtesy and respect,"CG-CAHPS Visit-H9CA-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS Visit,3,"Helpful, Courteous, and Respectful Office Staff",H9HA,Helpfulness of office staff,"CG-CAHPS Visit-H9HA-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS Visit,4,Follow-up on Test Results,Y4FC,Follow up with test results,CG-CAHPS Visit-Y4FC-Follow-up on Test Results
CG-CAHPS Visit,5,Patients' Rating of the Provider,H30,Overall rating of provider,CG-CAHPS Visit-H30-Patients' Rating of the Provider
CG-CAHPS Visit,6,Willingness to Recommend,H17B,Patient Advocacy (likelihood to recommend),CG-CAHPS Visit-H17B-Willingness to Recommend
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care,"CG-CAHPS 12 Month Child-H1DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care,"CG-CAHPS 12 Month Child-H1DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time,"CG-CAHPS 12 Month Child-H5DD-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours,"CG-CAHPS 12 Month Child-H9DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours,"CG-CAHPS 12 Month Child-H9DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3AA,Provider spends enough time with patient/parent,CG-CAHPS 12 Month Child-H3AA-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3CS,Provider's respect for patient/parent,CG-CAHPS 12 Month Child-H3CS-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3D,Provider's knowledge of patient's medical history,CG-CAHPS 12 Month Child-H3D-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3FF,Provider giving understandable instructions for care,CG-CAHPS 12 Month Child-H3FF-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3J,Clear communication by providers,CG-CAHPS 12 Month Child-H3J-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3O,Providers listening carefully to patients,CG-CAHPS 12 Month Child-H3O-How Well Providers Communicate With Patients
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9C,Office staff treating you with courtesy and respect,"CG-CAHPS 12 Month Child-H9C-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9H,Helpfulness of office staff,"CG-CAHPS 12 Month Child-H9H-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability,CG-CAHPS 12 Month Child-Y3DB-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors,CG-CAHPS 12 Month Child-Y3DC-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth,CG-CAHPS 12 Month Child-Y3DD-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions,CG-CAHPS 12 Month Child-Y3DE-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV,CG-CAHPS 12 Month Child-Y3DG-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others,CG-CAHPS 12 Month Child-Y3DK-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries,CG-CAHPS 12 Month Child-Y3DF-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries,CG-CAHPS 12 Month Child-Y3DF1-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet,CG-CAHPS 12 Month Child-Y3DH-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise,CG-CAHPS 12 Month Child-Y3DJ-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child,CG-CAHPS 12 Month Child-Y3DL-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS 12 Month Child,6,Follow-up on Test Results,H4FC,Provider’s office followed up with test results,CG-CAHPS 12 Month Child-H4FC-Follow-up on Test Results
CG-CAHPS 12 Month Child,7,Patients' Rating of the Provider,H30,Rating of Provider,CG-CAHPS 12 Month Child-H30-Patients' Rating of the Provider
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care,"CG-CAHPS Visit Child-H1DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care,"CG-CAHPS Visit Child-H1DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time,"CG-CAHPS Visit Child-H5DD-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours,"CG-CAHPS Visit Child-H9DA-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours,"CG-CAHPS Visit Child-H9DB-Getting Timely Appointments, Care, and Information"
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3AAA,Provider spends enough time with patient/parent,CG-CAHPS Visit Child-H3AAA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3CSA,Provider's respect for patient/parent,CG-CAHPS Visit Child-H3CSA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3DA,Provider's knowledge of patient's medical history,CG-CAHPS Visit Child-H3DA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3FFA,Provider giving understandable instructions for care,CG-CAHPS Visit Child-H3FFA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3JA,Clear communication by providers,CG-CAHPS Visit Child-H3JA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3OA,Providers listening carefully to patients,CG-CAHPS Visit Child-H3OA-How Well Providers Communicate With Patients
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9CA,Office staff treating you with courtesy and respect,"CG-CAHPS Visit Child-H9CA-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9HA,Helpfulness of office staff,"CG-CAHPS Visit Child-H9HA-Helpful, Courteous, and Respectful Office Staff"
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability,CG-CAHPS Visit Child-Y3DB-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors,CG-CAHPS Visit Child-Y3DC-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth,CG-CAHPS Visit Child-Y3DD-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions,CG-CAHPS Visit Child-Y3DE-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV,CG-CAHPS Visit Child-Y3DG-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others,CG-CAHPS Visit Child-Y3DK-Provider’s Attention to Your Child’s Growth and Development
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries,CG-CAHPS Visit Child-Y3DF-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries,CG-CAHPS Visit Child-Y3DF1-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet,CG-CAHPS Visit Child-Y3DH-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise,CG-CAHPS Visit Child-Y3DJ-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child,CG-CAHPS Visit Child-Y3DL-Provider’s Advice on Keeping Your Child Safe and Healthy
CG-CAHPS Visit Child,6,Follow-up on Test Results,Y4FC,Follow up with test results,CG-CAHPS Visit Child-Y4FC-Follow-up on Test Results
CG-CAHPS Visit Child,7,Patients' Rating of the Provider,H30,Rating of Provider,CG-CAHPS Visit Child-H30-Patients' Rating of the Provider
HH-CAHPS,1,Care Of Patients,H2HK,"In the last 2 months of care, how often did home health providers from this agency seem informed and up-to-date about all the care or treatment you got at home?",HH-CAHPS-H2HK-Care Of Patients
HH-CAHPS,1,Care Of Patients,H2CG,"In the last 2 months of care, how often did home health providers from this agency treat you as gently as possible?",HH-CAHPS-H2CG-Care Of Patients
HH-CAHPS,1,Care Of Patients,H2C,"In the last 2 months of care, how often did home health providers from this agency treat you with courtesy and respect?",HH-CAHPS-H2C-Care Of Patients
HH-CAHPS,1,Care Of Patients,Y8HP,"In the last 2 months of care, did you have any problems with the care you got through this agency?",HH-CAHPS-Y8HP-Care Of Patients
HH-CAHPS,2,Communication Between Providers And Patients,Y1H,"When you first started getting home health care from this agency, did someone from the agency tell you what care and services you would get?",HH-CAHPS-Y1H-Communication Between Providers And Patients
HH-CAHPS,2,Communication Between Providers And Patients,H4Y,"In the last 2 months of care, how often did home health providers from this agency keep you informed about when they would arrive at your home?",HH-CAHPS-H4Y-Communication Between Providers And Patients
HH-CAHPS,2,Communication Between Providers And Patients,H2J,"In the last 2 months of care, how often did home health providers from this agency explain things in a way that was easy to understand?",HH-CAHPS-H2J-Communication Between Providers And Patients
HH-CAHPS,2,Communication Between Providers And Patients,H2O,"In the last 2 months of care, how often did home health providers from this agency listen carefully to you?",HH-CAHPS-H2O-Communication Between Providers And Patients
HH-CAHPS,2,Communication Between Providers And Patients,Y10H,"In the last 2 months of care, when you contacted this agency’s office did you get the help or advice you needed?",HH-CAHPS-Y10H-Communication Between Providers And Patients
HH-CAHPS,2,Communication Between Providers And Patients,H10A,"When you contacted this agency’s office, how long did it take for you to get the help or advice you needed?",HH-CAHPS-H10A-Communication Between Providers And Patients
HH-CAHPS,3,Specific Care Issues,Y1HA,"When you first started getting home health care from this agency, did someone from the agency talk with you about how to set up your home so you can move around safely?",HH-CAHPS-Y1HA-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y1HB,"When you started getting home health care from this agency, did someone from the agency talk with you about all the prescription and over-the-counter medicines you were taking?",HH-CAHPS-Y1HB-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y1HC,"When you started getting home health care from this agency, did someone from the agency ask to see all the prescription and over-the-counter medicines you were taking?",HH-CAHPS-Y1HC-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y4HP,"In the last 2 months of care, did you and a home health provider from this agency talk about pain?",HH-CAHPS-Y4HP-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y4P,"In the last 2 months of care, did home health providers from this agency talk with you about the purpose for taking the new or changed prescription medicines?",HH-CAHPS-Y4P-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y4Q,"In the last 2 months of care, did home health providers from this agency talk with you about when to take these medicines?",HH-CAHPS-Y4Q-Specific Care Issues
HH-CAHPS,3,Specific Care Issues,Y4S,"In the last 2 months of care, did home health providers from this agency talk with you about the side effects of these medicines?",HH-CAHPS-Y4S-Specific Care Issues
HH-CAHPS,4,Overall Rating,H30,"Using any number from 0 to 10, where 0 is the worst home health care possible and 10 is the best home health care possible, what number would you use to rate your care from this agency's home health providers?",HH-CAHPS-H30-Overall Rating
HH-CAHPS,5,Willingness To Recommend,H17,Would you recommend this agency to your family or friends if they needed home health care?,HH-CAHPS-H17-Willingness To Recommend
Hospice,1,Hospice Team Communication,H2OH,How often did the hospice team listen carefully to you when you talked with them about problems with your family member's hospice care?,Hospice-H2OH-Hospice Team Communication
Hospice,1,Hospice Team Communication,H2O,"While your family member was in hospice care, how often did the hospice team listen carefully to you?",Hospice-H2O-Hospice Team Communication
Hospice,1,Hospice Team Communication,H2J,"While your family member was in hospice care, how often did the hospice team explain things in a way that was easy to understand?",Hospice-H2J-Hospice Team Communication
Hospice,1,Hospice Team Communication,H4AAH,"While your family member was in hospice care, how often did the hospice team keep you informed about your family's condition?",Hospice-H4AAH-Hospice Team Communication
Hospice,1,Hospice Team Communication,H4YH,"While your family member was in hospice care, how often did the hospice team keep you informed about when they would arrive to care for your family member?",Hospice-H4YH-Hospice Team Communication
Hospice,2,Getting Timely Care,H2AA2,"While your family member was in hospice care, when you or your family member asked for help from the hospice team, how often did you get help as soon as you needed it?",Hospice-H2AA2-Getting Timely Care
Hospice,2,Getting Timely Care,H9DH,"How often did you get the help you needed from the hospice team during evenings, weekends, or holidays?",Hospice-H9DH-Getting Timely Care
Hospice,3,Treating Family Member with Respect,H4OR,"While your family member was in hospice care, how often did the hospice team treat your family member with dignity and respect?",Hospice-H4OR-Treating Family Member with Respect
Hospice,3,Treating Family Member with Respect,H2BD,"While your family member was in hospice care, how often did you feel that the hospice team really cared about your family member?",Hospice-H2BD-Treating Family Member with Respect
Hospice,4,Providing Emotional Support,H27B,"In the weeks after your family member died, how much emotional support did you get from the hospice team?",Hospice-H27B-Providing Emotional Support
Hospice,4,Providing Emotional Support,H27A,"While your family member was in hospice care, how much emotional support did you get from the hospice team?",Hospice-H27A-Providing Emotional Support
Hospice,5,Getting Help for Symptoms,H19D,How often did your family member receive the help he or she needed from the hospice team for feelings of anxiety or sadness?,Hospice-H19D-Getting Help for Symptoms
Hospice,5,Getting Help for Symptoms,H4AFH,Did your family member get as much help with pain as he or she needed?,Hospice-H4AFH-Getting Help for Symptoms
Hospice,5,Getting Help for Symptoms,H22C,How often did your family member get the help he or she needed for constipation?,Hospice-H22C-Getting Help for Symptoms
Hospice,5,Getting Help for Symptoms,H7BRH,How often did your family member get the help he or she needed for trouble breathing?,Hospice-H7BRH-Getting Help for Symptoms
Hospice,6,Information Continuity,H4AA2,"While your family member was in hospice care, how often did anyone from the hospice team give you confusing or contradictory information about your family member's condition or care?",Hospice-H4AA2-Information Continuity
Hospice,7,Understanding the Side Effects of Pain Medication,H4ANH,Side effects of pain medicine include things like sleepiness. Did any member of the hospice team discuss side effects of pain medicine with you or your family member?,Hospice-H4ANH-Understanding the Side Effects of Pain Medication
