ProjectName,QuestionID,LongLabel,ShortLabel
PTE453W,H14,We're almost finished.  ,"How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?"
PTE845W,H14,,"How satisfied were you with the overall quality of care and services <TS003> received during the visit? Would you say very satisfied, satisfied, dissatisfied or very dissatisfied?"
PTE002S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE006S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE018BE,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE024S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE025S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE026S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE027S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE029S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE032S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE033AK,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE036S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE037BI,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE038BI,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE039S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE041BC,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE042BC,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE044S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE045S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE046S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE050S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE055S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE057S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE059S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE060BB,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE064S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE066S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE067S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE068S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE069S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE075S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE076Y,H17,,"Would you recommend this <TSFAC> to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE079S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE080S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE081S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE082S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE083S,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE096BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE097BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE104S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes, or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE105BI,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE106BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE112AP,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE114BL,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE115BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE127BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE132BJ,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE134BA,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE136R,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE138R,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE145R,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE155AP,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE167BL,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE178R,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE179R,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE183R,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE187R,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1A1N,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1A4N,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1B1M,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1B3L,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1C5M,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1C6M,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1D5L,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1E4L,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1F3K,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1F4S,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1G5D,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1H1K,H17,,"Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1H7K,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1H8J,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1I2K,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1I3K,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1I4K,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1J1I,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1J3I,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1J6J,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1J7J,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1J8J,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1K1J,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1K2J,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1K3I,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1M1I,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, Definitely yes?"
PTE1M4I,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1M6I,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1M7H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1P2H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1P3H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1P5H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1P8H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1Q1H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1Q2H,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?"
PTE1R1G,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1R4G,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1R5G,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1S1G,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1S2F,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1S7F,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1S8I,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1U2F,H17,,"Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
PTE1U6F,H17,,"Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?"
