"","QuestionID","ShortLabel","freq"
"27","H17","Would you recommend this emergency department to your friends and family? Would you say definitely no, probably no, probably yes, or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",1
"28","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",30
"29","H17","Would you recommend this emergency department to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",19
"30","H17","Would you recommend this emergency room to your friends and family? Would you say definitely no, probably no, probably yes or definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, probably no, probably yes, or definitely yes?",1
"31","H17","Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",131
"32","H17","Would you recommend this emergency room to your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes? INTERVIEWER: IF THE PATIENT DOES NOT PROVIDE AN APPROPRIATE RESPONSE, PROBE BY REPEATING: Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",1
"33","H17","Would you recommend this emergency roomto your friends and family? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",1
"34","H1B","How satisfied were you with the overall registration process? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"35","H1B","How satisfied were you with the registration process? This is the point at which <TS002> insurance information was taken. Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",4
"36","H1B","How satisfied were you with the registration process? Would you say very satisfied, satisfied, dissatisfied or very dissatisfied?",1
"37","H1B","How satisfied were you with the registration process? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",6
"38","H1B","How satisfied were you with the registration process? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"39","H1BA","How satisfied were you with the ease of getting registered, including the amount of time it took? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"40","H1BA","How satisfied were you with the ease of getting registered, including the amount of time it took? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"41","H1BA","How satisfied were you with the ease of getting registered, including the amount of time it took? Would you say Very Satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"42","H1BA","How satisfied were you with the ease of getting registered, including the amount of time that it took? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"43","H1BF","How satisfied were you with the friendliness of the ER admission clerk? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"44","H1C","How satisfied were you with how quickly the staff evaluated <TS002> medical condition upon arrival to the <TSFAC>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"45","H1C","How satisfied were you with how quickly the staff evaluated <TS002> medical condition upon arrival to the emergency room? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"46","H1C","How satisfied were you with how quickly the staff evaluated <TS002> medical condition upon arrival to the emergency room? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",2
"47","H1C","How satisfied were you with how quickly the staff evaluated <TS002> medical condition upon arrival to the emergency room? Would you say very satisfied, satisfied, dissatisfied, or very dissatisfied?",1
"48","H1EF","How satisfied <TS010> with the courtesy and friendliness of the registration staff? Would you say Very Satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"49","H1EF","How satisfied were you with the courtesy and friendliness of the registration staff? Would you say Very satisfied, Satisfied, Dissatisfied or very Dissatisfied?",1
"50","H1EF","How satisfied were you with the courtesy and friendliness of the registration staff? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",30
"51","H1EF","How satisfied were you with the courtesy and friendliness of the registration staff? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"52","H1H","How satisfied were you with how quickly the registration process was completed? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"53","H1H","How satisfied were you with how quickly the registration process was completed? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied? [IF NECESSARY, READ:] This is the initial process of signing in and filling out paperwork.",2
"54","H1H","How satisfied were you with how quickly the registration process was completed? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"55","H1HA","How satisfied were you with the effcience with which the ambulance call was handled? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"56","H1HA","How satisfied were you with the efficiency with which the ambulance call was handled? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"57","H1HC","How satisfied were you with the level of courtesy and respect shown by the ambulance crew? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"58","H1HE","How satisfied were you with the effciency of the responding EMS crew? Would you say Very satisfied, Satisfied, Dissatisfied, or Very Dissatisfied?",1
"59","H2","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the (nurses/patient care staff) who treated <TS003>?",1
"60","H2","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the Emergency Department staff who treated <TS003>?",1
"61","H2","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the patient care staff who treated <TS003>?",159
"62","H21","The mission of <SC1> is to demonstrate God's care by improving the health of people and communities through a ministry of physical, mental, and spiritual healing. How often did the hospital meet its mission? Would you say Never, Sometimes, Usually, or Always?",1
"63","H21","The mission of Hackettstown Regional Medical Center is to demonstrate God's care by improving the health of people and communities through a ministry of physical, mental and spiritual healing. How often did the hospital meet its mission? Would you say Never, Sometimes, Usually, or Always?",1
"64","H21","The mission of Washington Adventist Hospital is to demonstrate God's care by improving the health of people and communities through a ministry of physical, mental, and spiritual healing. How often did the hospital meet its mission? Would you say Never, Sometimes, Usually, or Always?",1
"65","H2A","How often did patient care staff do a good job of responding quickly to requests? Would you say Never, Sometimes, Usually or Always?",2
"66","H2AC","How satisfied were you with how often nurses checked on <TS003> and kept track of how <TS001> doing? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",3
"67","H2AC","How satisfied were you with how often nurses checked on <TS003> and kept track of how <TS023> doing? Would you say Very satisfied, Satisfied, Dissatisfied, Very dissatisfied?",1
"68","H2AC","How satisfied were you with how often nurses checked on <TS003> and kept trackof how <TS001> doing? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"69","H2AF","During this hospital stay, how often did nurses check on <TS003> every hour to see if <TS023> needed anything? Would you say Never, Sometimes, Usually or Always?",1
"70","H2AF","During this hospital visit, how frequently did nurses check on you every hour to see if you needed anything? Would you say Never, Sometimes, Usually or Always?",1
"71","H2BB","How often did the staff treat <TS003> as a whole person, not just a medical condition? Would you say Never, Sometimes, Usually or Always?",1
"72","H2BC","How often did you feel the patient care staff really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",1
"73","H2C","During this emergency department visit, how often did patient care staff treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually, or Always?",2
"74","H2C","During this emergency room visit, how often did nurses treat <TS020> with courtesy and respect? Would you say Never, Sometimes, Usually, or Always?",133
"75","H2C","During this hospital stay/visit, how often did nurses treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually, or Always?",1
"76","H2C","During this hospital visit, how often did nurses treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",3
"77","H2C","During this hospital visit, how often did the patient care staff treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",1
"78","H2C","During this hosptial stay/visit, how often did nurses treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",1
"79","H2C","How often did patient care staff treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",1
"80","H2C","How often did patient care staff treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually, or Always?",1
"81","H2CA","How often did the staff treat <TS003> with respect and compassion? Would you say Never, Sometimes, Usually, or Always?",1
"82","H2D","How satisfied were you with the explanation of medications and procedures? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"83","H2EN","How often was the patient care staff attentive to <TS002> emotional needs? Would you say Never, Sometimes, Usually or Always?",1
"84","H2J","During this emergency room visit, how often did nurses explain things in a way <TS020> could understand? Would you say Never, Sometimes, Usually or Always?",133
"85","H2J","During this hospital stay/visit, how often did nurses explain things in a way <TS003> could understand? Would you say Never, Sometimes, Usually, or Always?",1
"86","H2J","During this hospital visit, how often did nurses explain things in a way <TS003> could understand? Would you say Never, Sometimes, Usually or Always?",4
"87","H2J","During this hospital visit, how often did nurses explain things in a way <TS003> could understand? Would you say Never, Sometimes, Usually, or Always?",1
"88","H2M","How often did the Emergency Department staff show the proper sense of urgency in treating <TS002> medical problem? Would you say Never, Sometimes, Usually or Always?",1
"89","H2M","How often did the nurses or patient care staff show the proper sense of urgency in treating <TS002> medical problem? Would you say Never, Sometimes, Usually or Always?",15
"90","H2M","How often did the patient care staff show the proper sense of urgency in treating <TS002> medical problem? Would you say Never, Sometimes, Usually or Always?",131
"91","H2M","How often did the patient care staff show the proper sense of urgency in treating <TS002> medical problem? Would you say Never, Sometimes, Usually, or Always?",26
"92","H2O","During this emergency room visit, how often did nurses listen carefully to <TS020>? Would you say Never, Sometimes, Usually or Always?",134
"93","H2W","How often did you feel comfortable asking the Emergency Department staff questions about <TS002> care and treatment in the emergency department? Would you say Never, Sometimes, Usually or Always?",1
"94","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in (the) <SC4>? Would you say Never, Sometimes, Usually or Always?",1
"95","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the <SC4>? Would you say Never, Sometimes, Usually or Always?",2
"96","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the <TSFAC>? Would you say Never, Sometimes, Usually or Always?",1
"97","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the emergency department? Would you say Never, Sometimes, Usually or Always?",127
"98","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the emergency department? Would you say Never, Sometimes, Usually, or Always?",24
"99","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the emergency room? Would you say Never, Sometimes, Usually or Always?",1
"100","H2W","How often did you feel comfortable asking the patient care staff questions about <TS002> care and treatment in the emergency room? Would you say Never, Sometimes, Usually, or Always?",1
"101","H2WA","How satisfied were you with the willingness of hospital staff to answer <TS002> questions? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"102","H2XS","How satisfied were you with the staff's sensitivity to <TS002> problems or concerns? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"103","H2XS","How satisfied were you with the staff's sensitivity to <TS002> problems or concerns? Would you say very satisfied, satisfied, dissatisfied, or very dissatisfied?",1
"104","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated <TS003> ?",1
"105","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated <TS003> during the Emergency Department visit?",1
"106","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated <TS003> during this visit/stay?",15
"107","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated <TS003> during this visit?",1
"108","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated <TS003>?",152
"109","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the providers who treated <TS003>?",5
"110","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from the doctor who treated <TS003>?",2
"111","H3","Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from the main providers of your medical care, which may have been a physician, nurse practitioner or physician assistant who treated <TS003> during this visit?",1
"112","H30","Using any number from 0 to 10, where 0 is the worst (emergency department/urgent care center) possible and 10 is the best (emergency department/urgent care center) possible, what number would you use to rate this emergency department?",2
"113","H30","Using any number from 0 to 10, where 0 is the worst <SC4> possible and 10 is the best <SC4> possible, what number would you use to rate this <SC4>?",2
"114","H30","Using any number from 0 to 10, where 0 is the worst <TSFAC> possible and 10 is the best <TSFAC> possible, what number would you use to rate this <TSFAC>?",2
"115","H30","Using any number from 0 to 10, where 0 is the worst care possible and 10 is the best care possible, what number would you use to rate <TS002> care during this emergency room visit?",131
"116","H30","Using any number from 0 to 10, where 0 is the worst emergency department possible and 10 is the best emergency department possible, what number would you use to rate <TS002> care during this emergency room visit?",1
"117","H30","Using any number from 0 to 10, where 0 is the worst emergency department possible and 10 is the best emergency department possible, what number would you use to rate this emergency department?",153
"118","H30","Using any number from 0 to 10, where 0 is the worst emergency room possible and 10 is the best emergency room possible, what number would you use to rate this emergency room?",3
"119","H3A","How satisfied were you with the amount of time the doctor spent with <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"120","H3A","How satisfied were you with the amount of time the doctors spent with <TS003> during the Emergency Department visit? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"121","H3A","How satisfied were you with the amount of time the doctors spent with <TS003>? Would you say very satisfied, satisfied, dissatisfied or very dissatisfied?",40
"122","H3A","How satisfied were you with the amount of time the doctors spent with <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",82
"123","H3A","How satisfied were you with the amount of time the doctors spent with <TS003>? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"124","H3A","How satisfied were you with the amount of time the doctors spent with <TS003>? Would you say very satisfied, satisfied, dissatisfied, or very dissatisfied?",1
"125","H3A","How satisfied were you with the amount of time the doctors spent with <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",25
"126","H3A","How satisfied were you with the amount of time the main providers of your medical care, which may have been a physician, nurse practitioner or physician assistant, spent with <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"127","H3A","How satisfied were you with the amount of time the providers spent with <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",5
"128","H3AB","How satisfied were you with how often doctors checked on <TS003> to keep track of how you were doing? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied? READ SCALE FOR EACH QUESTION. REPEAT QUESTION AND/OR SCALE AS NECESSARY.",1
"129","H3AB","How satisfied were you with how often doctors checked on you to keep track of how you were doing? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied? READ SCALE FOR EACH QUESTION. REPEAT QUESTION AND/OR SCALE AS NECESSARY.",1
"130","H3BC","During your Emergency Department visit, how often did you feel the doctors really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",1
"131","H3BC","How often did <TS003> feel the main providers of your medical care, which may have been a physician, nurse practitioner or physician assistant, really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",1
"132","H3BC","How often did you feel the doctor really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",2
"133","H3BC","How often did you feel the doctors really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",127
"134","H3BC","How often did you feel the doctors really cared about <TS003> as a person? Would you say Never, Sometimes, Usually, or Always?",24
"135","H3BC","How often did you feel the providers really cared about <TS003> as a person? Would you say Never, Sometimes, Usually or Always?",5
"136","H3C","During this emergency room visit, how often did doctors treat <TS020> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",133
"137","H3C","During this hospital stay/visit, how often did doctors treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",1
"138","H3C","During this hospital visit, how often did doctors treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",2
"139","H3C","During this hospital visit, how often did doctors treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually, or Always?",2
"140","H3C","How often did doctors treat <TS003> with courtesy and respect? Would you say Never, Sometimes, Usually or Always?",1
"141","H3CB","How satisfied were you with the concern and caring of <TS002> doctors? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"142","H3CW","How often did the doctors involve <TS003> in decisions about <TS102> care? Would you say Never, Sometimes, Usually or Always?",1
"143","H3CW","How often did the doctors involve <TS020> in decisions about <TS102> care? Would you say Never, Sometimes, Usually or Always?",1
"144","H3J","During this emergency room visit, how often did doctors explain things in a way <TS003> could understand? Would you say Never, Sometimes, Usually, or Always?",2
"145","H3J","During this emergency room visit, how often did doctors explain things in a way <TS020> could understand? Would you say Never, Sometimes, Usually, or Always?",134
"146","H3J","During this hospital stay, how often did doctors explain things in a way <TS006> could understand? Would you say Never, Sometimes, Usually, or Always?",1
"147","H3J","During this hospital visit, how often did doctors explain things in a way <TS003> could understand? Would you say Never, Sometimes, Usually or Always?",1
"148","H3J","During this hospital visit, how often did doctors listen carefully to <TS003>? Would you say Never, Sometimes, Usually, or Always?",1
"149","H3J","During this hospital visit, how often did doctors listen carefully to you? Would you say Never, Sometimes, Usually, or Always?",1
"150","H3O","During this emergency room visit, how often did doctors listen carefully to <TS003>? Would you say Never, Sometimes, Usually, or Always?",2
"151","H3O","During this emergency room visit, how often did doctors listen carefully to <TS020>? Would you say Never, Sometimes, Usually, or Always?",134
"152","H3O","During this hospital visit, how often did doctors listen carefully to <TS003>? Would you say Never, Sometimes, Usually or Always?",1
"153","H3O","During this hospital visit, how often did doctors listen carefully to <TS020>? Would you say Never, Sometimes, Usually or Always?",1
"154","H4AA","How often did the patient care staff do a good job informing <TS002> designated family member or friend about <TS002> care and treatment? Would you say Never, Sometimes, Usually or Always?",1
"155","H4AA","How often did the staff do a good job informing <TS002> designated family member or friend about <TS002> care and treatment? Would you say Never, Sometimes, Usually or Always? (IF NECESSARY, READ) The ""designated"" person is the individual or individuals <TS003> gave the hospital permission to discuss <TS002> medical care with.",1
"156","H4AE","During this emergency room visit, how often was <TS002> pain well controlled? Would you say Never, Sometimes, Usually, or Always?",2
"157","H4AF","How often did the Emergency Department staff do everything they could to help <TS003> with <TS102> pain? Would you say Never, Sometimes, Usually or Always?",1
"158","H4AF","How often did the patient care staff do everything they could to help <TS003> with <TS102> pain? Would you say Never, Sometimes, Usually or Always?",132
"159","H4AF","How often did the patient care staff do everything they could to help <TS003> with <TS102> pain? Would you say Never, Sometimes, Usually, or Always?",26
"160","H4AF","How often did the patient care staff do everything they could to help <TS003> with <TS102> pain? Would you say, Never, Sometimes, Usually, or Always?",1
"161","H4AFD","During this emergency room visit, how often did the doctor do everything they could to help <TS003> with <TS102> pain? Would you say Never, Sometimes, Usually, or Always?",2
"162","H4AM","Before giving any new medicine, how often did the Emergency Department staff explain what the medicine was for? Would you say Never, Sometimes, Usually or Always?",1
"163","H4AM","Before giving any new medicine, how often did the patient care staff explain what the medicine was for? Would you say Never, Sometimes, Usually or Always?",133
"164","H4AM","Before giving any new medicine, how often did the patient care staff explain what the medicine was for? Would you say Never, Sometimes, Usually, or Always?",26
"165","H4B","How often did doctors, nurses, and other staff do everything they could to respect <TS002> privacy? Would you say Never, Sometimes, Usually or Always?",1
"166","H4BA","How satisfied were you with provisions for <TS002> privacy? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",5
"167","H4BA","How satisfied were you with provisions for <TS002> privacy? Would you say very satisfied, satisfied, dissatisfied, or very dissatisfied?",1
"168","H4CC","How often was the patient care staff able to provide assistance when needed? Would you say Never, Sometimes, Usually or Always?",1
"169","H4D","How often did nurses, doctors and other staff do a good job of working together as a team? Would you say Never, Sometimes, Usually or Always?",1
"170","H4D","How often did the nurses, doctors and other staff do a good job of working together as a team? Would you say Never, Sometimes, Usually or Always?",1
"171","H4DS","How satisfied were you with the teamwork of the hospital staff who cared for <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"172","H4DT","How satisfied were you with the coordination and teamwork of all the staff that took care of <TS003>? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
"173","H4DT","How satisfied were you with the coordination and teamwork of all the staff that took care of <TS003>? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"174","H4F","How often did the doctors, nurses, and other hospital staff introduce themselves when they first came to care for <TS003>? Would you say Never, Sometimes, Usually or Always?",3
"175","H4F","How often did the doctors, nurses, and other hospital staff introduce themselves when they first came to care for <TS003>? Would you say Never, Sometimes, Usually, or Always?",1
"176","H4F","How often did the doctors, nurses, and other hospital staff introduce themselves when they first came to care for you? Would you say Never, Sometimes, Usually, or Always?",1
"177","H4K","How often did you feel that the care and services received during the visit to the Emergency Department were well coordinated? Would you say Never, Sometimes, Usually or Always?",1
"178","H4K","How often did you feel that the care and services received during the visit were well coordinated? Would you say Never, Sometimes, Usually or Always?",133
"179","H4K","How often did you feel that the care and services received during the visit were well coordinated? Would you say Never, Sometimes, Usually, or Always?",25
"180","H4K","How often did you feel that the care and services received during the visit were well coordinated? Would you say Never, Sometimes, Usually, or Always? INTERVIEWER, IF PROMPTED: By well coordinated, I mean that services are organized and managed well.",1
"181","H4M","How often did the patient care staff make <TS003> feel comfortable during the procedure and/or treatment? Would you say Never, Sometimes, Usually or Always?",2
"182","H4N","How often did the staff meet your expectations regarding <TS002> family's involvment in <TS102> care? Would you say Never, Sometimes, Usually, or Always?",1
"183","H4RC","how often did the patient care staff respect <TS002> expressed cultural, religious, or lifestyle preferences? Would you say Never, Sometimes, Usually or Always?",5
"184","H4RC","How often did the patient care staff respect <TS002> family's cultural and spiritual needs? Would you say Never, Sometimes, Usually or Always?",2
"185","H4RE","Did you feel that the hospital staff was respectful of your culture, religion, lifestyle, and traditions? Would you say Definitely no, Probably no, Probably yes, or Definitely yes?",1
"186","H4T","How satisfied <TS010> with how well the staff explained test, treatments, and what to expect? Would you say Very Satisfied, Satisfied, Dissatisfied or Very Dissatisfied?",1
"187","H4T","How satisfied <TS010> with how well the staff explained tests, treatments, and what to expect? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",1
"188","H4T","How satisfied were you with how the staff explained tests, treatments, and what to expect? Would you say Very satisfied, Satisfied, Dissatisfied, or Very dissatisfied?",1
"189","H4T","How satisfied were you with how well the staff explained tests, treatments, and what to expect? Would you say Very satisfied, Satisfied, Dissatisfied or Very dissatisfied?",2
