"","Var1","Freq"
"11","(IF YES, READ) I'll tell you when to begin your comment. ""Please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS102> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"12","(If yes, read) I'll tell you when to begin your comment. ""Please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing your needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES, ASK) Can I have you hold for one moment please?",1
"13","(IF YES, READ) I'll tell you when to begin your comment. ""Please tell us about any good or bad experiences which occurred during <TS002> visit or about someone who excelled in servicing your needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"14","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any good experiences which occurred during your emergency department visit or about someone who excelled in providing <TS002> care."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"15","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS102> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"16","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled on servicing <TS002> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"17","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any good or bad experiences which occurred during your hospital visit or about someone who excelled in servicing <TS002> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your comment. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"18","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any good or bad experiences which occurred during your visit or about someone who excelled in servicing <TS002> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedbak. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"19","(IF YES, READ) I'll tell you when to begin your comment. ""Thinking of this visit, please tell us about any suggestions <TS003> may have for improving safety, or how we may better meet <TS102> needs or expectations."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"20","(IF YES, READ) I'll tell you when to begin your comment. Please tell me when you are finished. The question is, ""Would you please provide additional comments on what the Emergency Department could have done to earn a 9 or 10?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",5
"21","(If yes, read) I'll tell you when to begin your comment. Please tell me when you are finished. The question is, ""Would you please provide additional comments on what the Emergency Department could have done to earn a 9 or 10?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (If respondent does not inform you they are done, ask) Does that conclude your comment?",1
"22","(IF YES, READ) I'll tell you when to begin your comment. Please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS102> needs?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"23","(IF YES, READ) I'll tell you when to begin your comment. The question is ""Can you please tell us about any good or bad experiences which occurred during your hospital visit or about someone who excelled in servicing your needs?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"24","(IF YES, READ) I'll tell you when to begin your comment. The question is ""Would you like to give the hospital any feedback - a suggestion for improving the experience or anyone you would like to recognize?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"25","(IF YES, READ) I'll tell you when to begin your comment. The question is ""Would you like to give the hospital feedback - a suggestion for improving the experience or anyone you would like to recognize?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"26","(IF YES, READ) I'll tell you when to begin your comment. The question is, "" Please tell us about any good or bad experiences which occurred during <TS002> visit or about someone who excelled in servicing <TS102> needs?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK ) Can I have you hold for one moment please?",1
"27","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Can you please tell us about any good or bad experiences which occurred during <TS002> hospital stay or someone who excelled in servicing <TS002> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"28","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Can you please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS002> needs?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"29","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""In order for the facility to earn your highest rating, what should the emergency department have done differently?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",3
"30","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""In order for the facility to earn your highest rating, what should the facility have done differently?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",4
"31","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""In order for the hospital to earn your highest rating, what should the hospital have done differently?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"32","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a person or department who you would like to recognize for providing exceptional care or service?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) : Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK): Can I have you hold for one moment please?",1
"33","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a person or department who you would like to recognize for providing exceptional care or service?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",3
"34","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a person or department who you would like to recognize for providing exceptional care or service?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ)Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"35","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a person who you would like to recognize for providing exceptional care or service?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) : Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK): Can I have you hold for one moment please?",1
"36","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a specific employee or volunteer you would like to see complimented or thanked for the care they provided? "" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",3
"37","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there a specific employee who you would like to see congraulated or thanked for the care they provided during the experience?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"38","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there anyone or anything that made <TS002> stay at the hospital extra special? "". Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"39","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there anything else you would like to share with us about <TS002> visit?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"40","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Is there anything else you would like to share with us about your visit?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"41","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS002> needs."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"42","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Please tell us about any good or bad experiences which occurred during <TS002> hospital visit or about someone who excelled in servicing <TS002> needs?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"43","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, please tell me about the employee in the emergency department who you would like to see congratulated or thanked. "" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"44","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, please tell me about the person or department who you would like to recognize for providing exceptional care or service."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) : Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"45","(If yes, read) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, please tell me about the person or department who you would like to recognize for providing exceptional care or service."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",8
"46","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, please tell me about the person or department who you would like to recognize for providing exceptional care or service."" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",20
"47","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"48","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what could the physicians and staff have done better for <TS003> to consider the care <TS023> received to be excellent?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"49","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could (the) <SC4> have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"50","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could <SC4> have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"51","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could Emergency Room have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"52","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the <SC4> have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",2
"53","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the <TSFAC> have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"54","(If yes, read) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department at Star Valley Medical Center have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (While system processes file, ASK) Can I have you hold for one moment please?",1
"55","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the Emergency Department have done better?"" (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"56","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"57","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE SAY) Can I have you hold for one moment please?",1
"58","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK ) Can I have you hold for one moment please?",1
"59","(If yes, read) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",1
"60","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (While system processes file, ASK) Can I have you hold for one moment please?",1
"61","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",105
"62","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the Emergency Department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",11
"63","(If yes, read) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES, ASK) Can I have you hold for one moment please?",2
"64","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THAT THEY ARE DONE, READ)Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE, ASK) Can I have you hold for one moment please?",3
"65","(IF YES, READ) I'll tell you when to begin your comment. The question is, ""Thinking of this visit, what one thing could the emergency department have done better?"" Please tell me when you finish your comment. (PRESS RECORD NOW) You may begin your comment now. (REMINDER: PRESS MUTE) (IF RESPONDENT DOES NOT INFORM YOU THEY ARE DONE, ASK) Thank you for your feedback. Does that conclude your comment? (WHILE SYSTEM PROCESSES FILE SAY) Can I have you hold for one moment please?",1
