Survey,Category #,Category Label,QID,Question Short Text
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3D,Provider's knowledge of patient's medical history
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3FF,Provider giving understandable instructions for care
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3J,Clear communication by providers
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3O,Providers listening carefully to patients
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9C,Office staff treating you with courtesy and respect
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9H,Helpfulness of office staff
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child
CG-CAHPS 12 Month Child,6,Follow-up on Test Results,H4FC,Provider’s office followed up with test results
CG-CAHPS 12 Month Child,7,Patients' Rating of the Provider,H30,Rating of Provider
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3AAA,Provider spends enough time with patient/parent
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3CSA,Provider's respect for patient/parent
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3DA,Provider's knowledge of patient's medical history
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3FFA,Provider giving understandable instructions for care
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3JA,Clear communication by providers
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3OA,Providers listening carefully to patients
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9CA,Office staff treating you with courtesy and respect
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9HA,Helpfulness of office staff
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child
CG-CAHPS Visit Child,6,Follow-up on Test Results,Y4FC,Follow up with test results
CG-CAHPS Visit Child,7,Patients' Rating of the Provider,H30,Rating of Provider
HH-CAHPS,1,Care Of Patients,H2HK,"In the last 2 months of care, how often did home health providers from this agency seem informed and up-to-date about all the care or treatment you got at home?"
HH-CAHPS,1,Care Of Patients,H2CG,"In the last 2 months of care, how often did home health providers from this agency treat you as gently as possible?"
HH-CAHPS,1,Care Of Patients,H2C,"In the last 2 months of care, how often did home health providers from this agency treat you with courtesy and respect?"
HH-CAHPS,1,Care Of Patients,Y8HP,"In the last 2 months of care, did you have any problems with the care you got through this agency?"
HH-CAHPS,2,Communication Between Providers And Patients,Y1H,"When you first started getting home health care from this agency, did someone from the agency tell you what care and services you would get?"
HH-CAHPS,2,Communication Between Providers And Patients,H4Y,"In the last 2 months of care, how often did home health providers from this agency keep you informed about when they would arrive at your home?"
HH-CAHPS,2,Communication Between Providers And Patients,H2J,"In the last 2 months of care, how often did home health providers from this agency explain things in a way that was easy to understand?"
HH-CAHPS,2,Communication Between Providers And Patients,H2O,"In the last 2 months of care, how often did home health providers from this agency listen carefully to you?"
HH-CAHPS,2,Communication Between Providers And Patients,Y10H,"In the last 2 months of care, when you contacted this agency’s office did you get the help or advice you needed?"
HH-CAHPS,2,Communication Between Providers And Patients,H10A,"When you contacted this agency’s office, how long did it take for you to get the help or advice you needed?"
HH-CAHPS,3,Specific Care Issues,Y1HA,"When you first started getting home health care from this agency, did someone from the agency talk with you about how to set up your home so you can move around safely?"
HH-CAHPS,3,Specific Care Issues,Y1HB,"When you started getting home health care from this agency, did someone from the agency talk with you about all the prescription and over-the-counter medicines you were taking?"
HH-CAHPS,3,Specific Care Issues,Y1HC,"When you started getting home health care from this agency, did someone from the agency ask to see all the prescription and over-the-counter medicines you were taking?"
HH-CAHPS,3,Specific Care Issues,Y4HP,"In the last 2 months of care, did you and a home health provider from this agency talk about pain?"
HH-CAHPS,3,Specific Care Issues,Y4P,"In the last 2 months of care, did home health providers from this agency talk with you about the purpose for taking the new or changed prescription medicines?"
HH-CAHPS,3,Specific Care Issues,Y4Q,"In the last 2 months of care, did home health providers from this agency talk with you about when to take these medicines?"
HH-CAHPS,3,Specific Care Issues,Y4S,"In the last 2 months of care, did home health providers from this agency talk with you about the side effects of these medicines?"
HH-CAHPS,4,Overall Rating,H30,"Using any number from 0 to 10, where 0 is the worst home health care possible and 10 is the best home health care possible, what number would you use to rate your care from this agency's home health providers?"
HH-CAHPS,5,Willingness To Recommend,H17,Would you recommend this agency to your family or friends if they needed home health care?
Hospice,1,Hospice Team Communication,H2OH,How often did the hospice team listen carefully to you when you talked with them about problems with your family member's hospice care?
Hospice,1,Hospice Team Communication,H2O,"While your family member was in hospice care, how often did the hospice team listen carefully to you?"
Hospice,1,Hospice Team Communication,H2J,"While your family member was in hospice care, how often did the hospice team explain things in a way that was easy to understand?"
Hospice,1,Hospice Team Communication,H4AAH,"While your family member was in hospice care, how often did the hospice team keep you informed about your family's condition?"
Hospice,1,Hospice Team Communication,H4YH,"While your family member was in hospice care, how often did the hospice team keep you informed about when they would arrive to care for your family member?"
Hospice,2,Getting Timely Care,H2AA2,"While your family member was in hospice care, when you or your family member asked for help from the hospice team, how often did you get help as soon as you needed it?"
Hospice,2,Getting Timely Care,H9DH,"How often did you get the help you needed from the hospice team during evenings, weekends, or holidays?"
Hospice,3,Treating Family Member with Respect,H4OR,"While your family member was in hospice care, how often did the hospice team treat your family member with dignity and respect?"
Hospice,3,Treating Family Member with Respect,H2BD,"While your family member was in hospice care, how often did you feel that the hospice team really cared about your family member?"
Hospice,4,Providing Emotional Support,H27B,"In the weeks after your family member died, how much emotional support did you get from the hospice team?"
Hospice,4,Providing Emotional Support,H27A,"While your family member was in hospice care, how much emotional support did you get from the hospice team?"
Hospice,5,Getting Help for Symptoms,H19D,How often did your family member receive the help he or she needed from the hospice team for feelings of anxiety or sadness?
Hospice,5,Getting Help for Symptoms,H4AFH,Did your family member get as much help with pain as he or she needed?
Hospice,5,Getting Help for Symptoms,H22C,How often did your family member get the help he or she needed for constipation?
Hospice,5,Getting Help for Symptoms,H7BRH,How often did your family member get the help he or she needed for trouble breathing?
Hospice,6,Information Continuity,H4AA2,"While your family member was in hospice care, how often did anyone from the hospice team give you confusing or contradictory information about your family member's condition or care?"
Hospice,7,Understanding the Side Effects of Pain Medication,H4ANH,Side effects of pain medicine include things like sleepiness. Did any member of the hospice team discuss side effects of pain medicine with you or your family member?
Hospice,8,Getting Hospice Care Training,H2ZZ4,Did the hospice team give you enough training about what to do if your family member became restless or agitated?
Hospice,8,Getting Hospice Care Training,H2ZZ1,Did the hospice team give you enough training about if and when to give more pain medicine to your family member?
Hospice,8,Getting Hospice Care Training,H2ZZ3,Did the hospice team give you enough training about how to help your family member if he or she had trouble breathing?
Hospice,8,Getting Hospice Care Training,H2ZZ2,Did the hospice team give you enough training about what side effects to watch for from pain medicine?
Hospice,9,Providing Support for Religious and Spiritual Beliefs,H4RE1,"While your family member was in hospice care, how much support for your religious and spiritual beliefs did you get from the hospice team?"
Hospice,10,Hospice (Other Questions),H2ZZ5,Did the hospice team give you the training you needed about how to safely move your family member?
Hospice,10,Hospice (Other Questions),H7HHS,Did the hospice team give you as much information as you wanted about what to expect while your family member was dying?
Hospice,10,Hospice (Other Questions),H4MH1,"While your family member was in hospice care, how often did the nursing home staff and hospice team work well together to care for your family member?"
Hospice,10,Hospice (Other Questions),H4MH2,"While your family member was in hospice care, how often was the information you were given about your family member by the nursing home staff different from the information you were given by the hospice team?"
Hospice,11,Overall Rating,H30,"Using any number from 0 to 10, where 0 is the worst hospice care possible and 10 is the best hospice care possible, what number would you use to rate your family member’s hospice care?"
Hospice,12,Willingness to Recommend,H17,Would you recommend this hospice to your friends and family?
Outpatient,1,Scheduling/Registration,H1D,How satisfied were you with the ability to schedule the visit on a convenient day and time?
Outpatient,1,Scheduling/Registration,H1B,How satisfied were you with the registration process?
Outpatient,2,Care From Staff,H2C,How often did the patient care staff treat (you/the patient) with courtesy and respect?
Outpatient,2,Care From Staff,H2O,How often did the patient care staff listen carefully to (you/the patient)?
Outpatient,2,Care From Staff,H2J,How often did the patient care staff explain things in a way (you/the patient) could understand?
Outpatient,2,Care From Staff,H5C,How often did the patient care staff do a good job in keeping (you/the patient) informed about delays in care or treatment?
Outpatient,2,Care From Staff,H4WW,How often was the patient care staff able to calm (your/the patient’s) fears?
Outpatient,2,Care From Staff,H2,"Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the patient care staff who treated (you/the patient)?"
Outpatient,3,Wait Time,H5D,How satisfied were you with the total amount of time (you/the patient) spent waiting at the facility?
Outpatient,4,Facility,H6F,"During this visit, how satisfied were you with how easy it was to find your way around the facility?"
Outpatient,4,Facility,H6AA,How satisfied were you with the cleanliness of the facility?
Outpatient,5,Rehab,H2Z,How often did the patient care staff do a good job of involving (you/the patient) in the treatment plan and goal setting?
Outpatient,5,Rehab,H2ZB,How satisfied were you with (your/the patient's) progress toward (your/the patient's) goals?
Outpatient,6,Same Day Surgery,H4AF,How often did the patient care staff do everything they could to help (you/the patient) with (your/the patient's) pain?
Outpatient,6,Same Day Surgery,H4AM,"Before giving (you/the patient) any new medicine, how often did the patient care staff tell (you/the patient) what the medicine was for?"
Outpatient,6,Same Day Surgery,H4AA,How often did the staff do a good job informing (your/the patient's) designated family member or friend about (your/the patient's) care and treatment?
Outpatient,6,Same Day Surgery,H8A,How satisfied were you with how clearly and completely (you were/the patient was) told what to do and what to expect after returning home?
Outpatient,6,Same Day Surgery,H7X,How satisfied were you with how much (you were/the patient was) helped by this visit?
Outpatient,6,Same Day Surgery,H3,"Using any number from 0 to 10, where 0 is the worst possible care and 10 is the best possible care, what number would you use to rate the care received from all the doctors who treated (you/the patient)?"
Outpatient,7,Overall Rating of Hospital,H30,"Using any number from 0 to 10, where 0 is the worst outpatient facility possible and 10 is the best outpatient facility possible, what number would you use to rate this outpatient facility?"
Outpatient,8,Willingness to Recommend the Hospital,H17,Would you recommend this outpatient facility to your friends and family?
HCAHPS,1,Communication with Nurses,H2C,Courtesy/respect of nurses
HCAHPS,1,Communication with Nurses,H2O,Nurses listening carefully to patients
HCAHPS,1,Communication with Nurses,H2J,Clear communication by nurses
HCAHPS,2,Communication with Doctors,H3C,Courtesy/respect of doctors
HCAHPS,2,Communication with Doctors,H3O,Doctors listening carefully to patients
HCAHPS,2,Communication with Doctors,H3J,Clear communication by doctors
HCAHPS,3,Responsiveness of Hospital Staff,H2AA,Timely response to call buttons
HCAHPS,3,Responsiveness of Hospital Staff,H4AP,Assistance with bathroom/bedpan as soon as wanted
HCAHPS,4,Cleanliness of the Hospital Environment,H6A,Cleanliness of room/bathroom
HCAHPS,5,Quietness of the Hospital Environment,H6O,Quietness of area around room at night
HCAHPS,6,Pain Management,H4AE,Pain well controlled
HCAHPS,6,Pain Management,H4AF,Staff doing everything they could to help with pain
HCAHPS,7,Communication about Medicines,H4AM,Explanations of new medicines
HCAHPS,7,Communication about Medicines,H4AN,Communication of possible side effects of new medicines
HCAHPS,8,Discharge Information,Y8AA,Talking to patients about help after discharge
HCAHPS,8,Discharge Information,Y8AB,Providing written discharge instructions
HCAHPS,9,Overall Rating of Hospital,H30,Overall rating of hospital
HCAHPS,10,Willingness to Recommend the Hospital,H17,Patient Advocacy (likelihood to recommend)
HCAHPS,11,Transition of Care,H8PF,Taking patient and family preferences into account in deciding needs after discharge
HCAHPS,11,Transition of Care,H8PM,Patient understood the purpose for taking medications at discharge
HCAHPS,11,Transition of Care,H8PR,Patient had a good understanding of responsibilities for managing own health at discharge
ED,1,Patient Care Staff,H2M,Urgency shown by the patient care staff in treating the patient's medical problem
ED,1,Patient Care Staff,H4K,Coordination of care and services
ED,1,Patient Care Staff,H4AM,Explanations of new medicines
ED,1,Patient Care Staff,H4AF,Staff doing everything they could to help with pain
ED,1,Patient Care Staff,H2W,Comfort asking patient care staff questions about care/treatment
ED,1,Patient Care Staff,H5C,Informing patients of delays in care/treatment
ED,1,Patient Care Staff,H2,Patient Care Staff - Overall Rating
ED,2,Doctors,H3BC,Doctors caring about the patient as a person
ED,2,Doctors,H3A,Amount of time doctors spend with patients
ED,2,Doctors,H3,Doctors - Overall Rating
ED,3,General ED Experience,H5B,Amount of time spent in the ED
ED,3,General ED Experience,H8A,Clear/complete discharge instructions
ED,3,General ED Experience,H7X,How much the patient was helped by this visit
ED,4,Overall Rating,H30,Overall rating of emergency department
ED,5,Likelihood to Recommend,H17,Patient Advocacy (likelihood to recommend)
ICH-CAHPS,1,Nephrologists' Communication and Caring,H3O,
ICH-CAHPS,1,Nephrologists' Communication and Caring,H3J,
ICH-CAHPS,1,Nephrologists' Communication and Caring,H3CS,
ICH-CAHPS,1,Nephrologists' Communication and Caring,H3AA,
ICH-CAHPS,1,Nephrologists' Communication and Caring,H3BC,
ICH-CAHPS,1,Nephrologists' Communication and Caring,Y2HD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2O,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2J,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2CSD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2AD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2BC,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H4M,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,Y4BD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,Y2WD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H7BN,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2DH,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2DI,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2K,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,Y2DE,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2DT,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H5DH,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H6AD,
ICH-CAHPS,2,Quality of Dialysis Center Care and Operations,H2DC,
ICH-CAHPS,3,Providing Information to Patients,Y7H,
ICH-CAHPS,3,Providing Information to Patients,Y11D,
ICH-CAHPS,3,Providing Information to Patients,Y11DH,
ICH-CAHPS,3,Providing Information to Patients,Y8AH,
ICH-CAHPS,3,Providing Information to Patients,Y2DH,
ICH-CAHPS,3,Providing Information to Patients,Y2DF,
ICH-CAHPS,3,Providing Information to Patients,Y2DG,
ICH-CAHPS,3,Providing Information to Patients,Y2DJ,
ICH-CAHPS,3,Providing Information to Patients,Y2DK,
ICH-CAHPS,4,Global Ratings,H3,
ICH-CAHPS,4,Global Ratings,H2DS,
ICH-CAHPS,4,Global Ratings,H30,
NICU,1,Care from Nurses,H2C,How often did the nurses in the NICU treat you with courtesy and respect?
NICU,1,Care from Nurses,H2O,How often did the nurses in the NICU listen carefully to you?
NICU,1,Care from Nurses,H2J,How often did the nurses in the NICU explain things in a way you could understand?
NICU,2,Care from Doctors,H3C,How often did doctors in the NICU treat you with courtesy and respect?
NICU,2,Care from Doctors,H3O,How often did doctors in the NICU listen carefully to you?
NICU,2,Care from Doctors,H3J,How often did the doctors in the NICU explain things in a way you could understand? 
NICU,2,Care from Doctors,H3CN,How often was the doctor in the NICU who was in charge of your baby's care available to answer your questions and explain the plan of care to you?
NICU,2,Care from Doctors,HCYX3,How often did the doctor in the NICU who was in charge of your baby's care include you in decisions about your baby's care?
NICU,3,NICU Environment,H6ON,"How often was the environment in the NICU restful for your baby, with low lighting and low noise levels?"
NICU,3,NICU Environment,H6EM,How often was the environment in the NICU family-friendly?
NICU,3,NICU Environment,H4VN1,How often were you able to spend as much time as you wanted with your baby while he/she was in the NICU?
NICU,3,NICU Environment,H4VN2,How often did you have as much privacy as you wanted in the NICU?
NICU,4,NICU Experience,H4DN,How often did the staff in the NICU work well together as a team? 
