SurveyTypeID,SurveyTypeDesc,,SurveyID,NumCyclesQ3,QID,TrendQID,NatlDbQID,QAlphaID,Qdesc,SurvInstrumentCategory,RptCategory
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19291,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19303,14094,14094,H9C,"In the last 12 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19302,14093,14093,H9H,"In the last 12 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19296,14088,14088,H3D,"In the last 12 months, how often did this provider seem to know the important information about your medical history?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19295,14087,14087,H3FF,"In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19293,14086,5869,H3O,"In the last 12 months, how often did this provider listen carefully to you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19297,14089,14089,H3CS,"In the last 12 months, how often did this provider show respect for what you had to say?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19298,14090,14090,H3AA,"In the last 12 months, how often did this provider spend enough time with you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19292,14085,5870,H3J,"In the last 12 months, how often did this provider explain things in a way that was easy to understand?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2064,371,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
16,Patient Insights - IP,HCAHPS,2438,200,19060,19060,19392,H3ED,What number would you use to rate the care received from all doctors who treated you in the emergency department?,Care From Doctors,Care From Doctors
16,Patient Insights - IP,HCAHPS,2438,200,18981,18981,19390,H2ED,What number would you use to rate the care received from all the nurses and patient care staff who treated you in the emergency department?,Care From Nurses,Care From Nurses
16,Patient Insights - IP,HCAHPS,2438,200,18951,5871,5871,H6A,"During this hospital stay, how often were your room and bathroom kept clean?",Cleanliness & Quietness of the Hospital Environment (HCAHPS),Cleanliness & Quietness of the Hospital Environment (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,18952,5872,5872,H6O,"During this hospital stay, how often was the area around your room quiet at night?",Cleanliness & Quietness of the Hospital Environment (HCAHPS),Cleanliness & Quietness of the Hospital Environment (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,18951,5871,5871,H6A,"During this hospital stay, how often were your room and bathroom kept clean?",Cleanliness & Quietness of the Hospital Environment (HCAHPS),Cleanliness of the Hospital Environment
16,Patient Insights - IP,HCAHPS,2438,200,18952,5872,5872,H6O,"During this hospital stay, how often was the area around your room quiet at night?",Cleanliness & Quietness of the Hospital Environment (HCAHPS),Quietness of the Hospital Environment
16,Patient Insights - IP,HCAHPS,2438,200,14654,5879,5879,H4AM,"Before giving you any new medicine, how often did hospital staff tell you what the medicine was for?",Communication about Medicines (HCAHPS),Communication about Medicines (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14655,5880,5880,H4AN,"Before giving you any new medicine, how often did hospital staff describe possible side effects in a way you could understand?",Communication about Medicines (HCAHPS),Communication about Medicines (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14643,5868,5868,H3C,"During this hospital stay, how often did doctors treat you with courtesy and respect?",Communication with Doctors (HCAHPS),Communication with Doctors (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14644,5869,5869,H3O,"During this hospital stay, how often did doctors listen carefully to you?",Communication with Doctors (HCAHPS),Communication with Doctors (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14645,5870,5870,H3J,"During this hospital stay, how often did doctors explain things in a way you could understand?",Communication with Doctors (HCAHPS),Communication with Doctors (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14639,5863,5863,H2C,"During this hospital stay, how often did nurses treat you with courtesy and respect?",Communication with Nurses (HCAHPS),Communication with Nurses (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14640,5864,5864,H2O,"During this hospital stay, how often did nurses listen carefully to you?",Communication with Nurses (HCAHPS),Communication with Nurses (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14641,5865,5865,H2J,"During this hospital stay, how often did nurses explain things in a way you could understand?",Communication with Nurses (HCAHPS),Communication with Nurses (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14657,5883,5883,Y8AA,"During this hospital stay, did doctors, nurses, or other hospital staff talk with you about whether you would have the help you needed when you left the hospital?",Discharge Information (HCAHPS),Discharge Information (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14658,5884,5884,Y8AB,"During this hospital stay, did you get information in writing about what symptoms or health problems to look out for after you left the hospital?",Discharge Information (HCAHPS),Discharge Information (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,19665,19665,19665,SC10,"During this hospital stay, did you need help from nurses or other hospital staff in getting to the bathroom or in using a bedpan?",Facts About Your Stay,Facts About Your Stay
16,Patient Insights - IP,HCAHPS,2438,200,19666,19666,19666,SC12,"During this hospital stay, did you need medicine for pain?",Facts About Your Stay,Facts About Your Stay
16,Patient Insights - IP,HCAHPS,2438,200,19667,19667,19667,SC15,"During this hospital stay, were you given any medicine that you had not taken before?",Facts About Your Stay,Facts About Your Stay
16,Patient Insights - IP,HCAHPS,2438,200,19668,19668,19668,Y2R,"During this hospital stay, did a nurse leader visit you?",Facts About Your Stay,Facts About Your Stay
16,Patient Insights - IP,HCAHPS,2438,200,19664,19664,19664,Y6DW,"Before and after providing care, treatment or services, did the staff wash their hands with soap and water or use a hand cleansing foam?",Facts About Your Stay (Clean Hands),Facts About Your Stay (Clean Hands)
16,Patient Insights - IP,HCAHPS,2438,200,15696,15696,15696,H2AF,"During this hospital stay, how frequently did nurses check on you every hour during the daytime to see if you needed anything?",Frequency of Hourly Rounding,Frequency of Hourly Rounding
16,Patient Insights - IP,HCAHPS,2438,200,20162,20162,19391,H30E,"Using any number from 0 to 10, where 0 is the worst ED possible and 10 is the best ED possible,  what number would you use to rate this emergency department?",Overall ED Rating,Overall ED Rating
16,Patient Insights - IP,HCAHPS,2438,200,14659,5885,5885,H30,What number would you use to rate this hospital during your stay? (0=worst possible … 10=best possible),Overall Rating of Hospital (HCAHPS),Overall Rating of Hospital (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14651,5876,5876,H4AE,"During this hospital stay, how often was your pain well controlled?",Pain Management (HCAHPS),Pain Management (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14652,5877,5877,H4AF,"During this hospital stay, how often did the hospital staff do everything they could to help you with your pain?",Pain Management (HCAHPS),Pain Management (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14649,5874,5874,H4AP,How often did you get help in getting to the bathroom or in using a bedpan as soon as you wanted?,Responsiveness of Hospital Staff (HCAHPS),Responsiveness of Hospital Staff (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,14642,5866,5866,H2AA,"During this hospital stay, after you pressed the call button, how often did you get help as soon as you wanted it?",Responsiveness of Hospital Staff (HCAHPS),Responsiveness of Hospital Staff (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,15697,15697,15697,H2AF2,"For the times that nurses checked on you, how would you rate your level of satisfaction with their attention to your needs?",Satisfaction with Hourly Rounding,Satisfaction with Hourly Rounding
16,Patient Insights - IP,HCAHPS,2438,200,19576,19576,19576,H8PF,"During this hospital stay, staff took my preferences and those of my family or caregiver into account in deciding what my health care needs would be when I left.",Transition of Care,Transition of Care
16,Patient Insights - IP,HCAHPS,2438,200,19577,19577,19577,H8PR,"When I left the hospital, I had a good understanding of the things I was responsible for in managing my health.",Transition of Care,Transition of Care
16,Patient Insights - IP,HCAHPS,2438,200,19578,19578,19578,H8PM,"When I left the hospital, I clearly understood the purpose for taking each of my medications.",Transition of Care,Transition of Care
16,Patient Insights - IP,HCAHPS,2438,200,14660,5886,5886,H17,Would you recommend this hospital to your friends and family?,Willingness to Recommend the Hospital (HCAHPS),Willingness to Recommend the Hospital (HCAHPS)
16,Patient Insights - IP,HCAHPS,2438,200,20163,20163,20163,H17E,Would you recommend this emergency department to your friends and family?,Would Recommend ED,Would Recommend ED
16,Patient Insights - IP,HCAHPS,2438,200,18979,1944,1322,H6DC,How safe and secure the hospital staff made you feel.,Your Satisfaction with This Hospital Stay,Your Satisfaction With This Hospital Stay
16,Patient Insights - IP,HCAHPS,2438,200,20817,20817,20817,D5ED,"During this hospital stay, were you admitted to this hospital through the Emergency Room?",Your Satisfaction with This Hospital Stay,Your Satisfaction With This Hospital Stay
16,Patient Insights - IP,HCAHPS,2438,200,21309,536,536,H7LS,Overall how satisfied were you with the Laboratory Staff?,Your Satisfaction with This Hospital Stay,Your Satisfaction With This Hospital Stay
16,Patient Insights - IP,HCAHPS,2438,200,21310,21310,21310,,Overall how satisfied were you regarding your x-ray or radiology experience?,Your Satisfaction with This Hospital Stay,Your Satisfaction With This Hospital Stay
16,Patient Insights - IP,HCAHPS,2438,200,21311,21311,14171,H7C,How satisfied were you with the overall quality of the food service?,Your Satisfaction with This Hospital Stay,Your Satisfaction With This Hospital Stay
16,Patient Insights - IP,HCAHPS,2438,200,21984,21984,21984,,Did you receive a follow-up call from the hospital about your discharge instructions?,Your Satisfaction with This Hospital Stay (Discharge),Your Satisfaction with This Hospital Stay (Discharge)
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19300,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow-up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19291,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19302,14093,14093,H9H,"In the last 12 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19303,14094,14094,H9C,"In the last 12 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19292,14085,5870,H3J,"In the last 12 months, how often did this provider explain things in a way that was easy to understand?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19293,14086,5869,H3O,"In the last 12 months, how often did this provider listen carefully to you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19295,14087,14087,H3FF,"In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19296,14088,14088,H3D,"In the last 12 months, how often did this provider seem to know the important information about your medical history?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19297,14089,14089,H3CS,"In the last 12 months, how often did this provider show respect for what you had to say?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19298,14090,14090,H3AA,"In the last 12 months, how often did this provider spend enough time with you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2064,566,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19300,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray or other test for you, how often did someone from this provider's office follow-up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19284,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19286,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19289,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19291,14084,14084,H5DD,"In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19290,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19303,14094,14094,H9C,"In the last 12 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19302,14093,14093,H9H,"In the last 12 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19292,14085,5870,H3J,"In the last 12 months, how often did this provider explain things in a way that was easy to understand?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19293,14086,5869,H3O,"In the last 12 months, how often did this provider listen carefully to you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19295,14087,14087,H3FF,"In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19297,14089,14089,H3CS,"In the last 12 months, how often did this provider show respect for what you had to say?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19296,14088,14088,H3D,"In the last 12 months, how often did this provider seem to know the important information about your medical history?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19298,14090,14090,H3AA,"In the last 12 months, how often did this provider spend enough time with you?",How Well Providers Communicate with Patients,How Well Providers Communicate With Patients
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2016,128,19301,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19352,14091,14091,H4FC,"In the last 12 months, when this provider ordered a blood test, x-ray, or other test for you, how often did someone from this provider's office follow up to give you those results?",Follow-up on Test Results,Follow-Up On Test Results
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19248,14080,14080,H1DA,"In the last 12 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19250,14081,14081,H1DB,"In the last 12 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19252,14082,14082,H9DA,"In the last 12 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19254,14083,14083,H9DB,"In the last 12 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19255,14084,14084,H5DD,"Wait time includes time spent in the waiting room and exam room. In the last 12 months, how often did you see this provider within 15 minutes of your appointment time?","Getting Timely Appointments, Care, and Information","Getting Timely Appointments, Care, and Information"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19353,14093,14093,H9H,"In the last 12 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19354,14094,14094,H9C,"In the last 12 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?","Helpful, Courteous, and Respectful Office Staff","Helpful, Courteous, And Respectful Office Staff"
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19344,14085,5870,H3J,"In the last 12 months, how often did this provider explain things in a way that was easy to understand?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19345,14086,5869,H3O,"In the last 12 months, how often did this provider listen carefully to you?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19347,14087,14087,H3FF,"In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19348,14088,14088,H3D,"In the last 12 months, how often did this provider seem to know the important information about your medical history?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19349,14089,14089,H3CS,"In the last 12 months, how often did this provider show respect for what you had to say?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19350,14090,14090,H3AA,"In the last 12 months, how often did this provider spend enough time with you?",How Well Providers Communicate With Patients,How Well Providers Communicate With Patients
154,Patient Insights - CG-CAHPS 12M (eSurvey),CG-CAHPS 12 Month,2032,15,19267,14092,5885,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?",Patients' Rating of the Provider,Patients' Rating of the Provider
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2664,105,24703,5676,263,H14,How satisfied were you with the overall quality of care and services you received during the visit?,Additional Items,Additional Items
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2664,105,24704,24704,11470,H4D,"How often did the nurses, patient care staff, doctors and other staff do a good job of working together as a team?",Additional Items,Additional Items
37,Patient Insights - POP (12mo Phone),CG-CAHPS 12 Month,2664,105,24705,24705,5659,H2F,How satisfied were you with the care provided by the nursing staff or patient care staff?,Additional Items,Additional Items
