,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES,NOTES
202,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h69da,,
203,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h69db,,
204,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,d61da,,
205,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h65dd,,
206,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63j,,
207,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63o,,
208,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63ff,,
209,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63d,,
210,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4pp,,
211,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4ppn,,
212,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4am,,
213,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y64ao,,
214,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4ts,,
215,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4tsn,,
216,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y4tsb,,
217,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,y64bw,,
218,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63cs,,
219,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h63aa,,
220,2419_184,ACO-8-CAHPS,Your Care From This Provider in the Last 6 Months,,,h64fc,,
221,2419_184,ACO-8-CAHPS,Helping You Take Medications as Directed,,,h64ao,,
222,2419_184,ACO-8-CAHPS,Helping You Take Medications as Directed,,,y4ao1,,
223,2419_184,ACO-8-CAHPS,Helping You Take Medications as Directed,,,y64a1,,
224,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
225,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
226,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
227,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
228,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
229,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
230,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
231,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
232,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
233,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
234,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
235,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
236,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
237,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
238,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
239,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
240,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
241,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
242,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
243,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
244,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
245,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
246,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
247,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
248,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
249,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
250,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
251,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
252,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
253,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
254,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
255,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
256,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
257,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
258,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
259,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
260,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
261,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
262,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
263,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
264,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
265,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
266,2186_210,PCMH-Child,Access to Care,,,,H9DD,
267,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,,H9DD,
268,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H4FC,
269,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H3DB,
270,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,Y4AM1,
271,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,H3DB,
272,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,Y4AM1,
273,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DB,
274,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DC,
275,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DD,
276,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DE,
277,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DK,
278,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF,
279,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF1,
280,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DG,
281,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH,
282,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ,
283,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DL,
284,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FG,
285,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FH,
286,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FG,
287,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FH,
288,2186_210,PCMH-Child,Follow-Up On Test Results,,,,H4FC,
289,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DB,
290,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DC,
291,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DD,
292,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DE,
293,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DK,
294,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DG,
295,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DJ,
296,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DL,
297,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DF1,
298,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DH,
299,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DF,
300,2186_210,PCMH-Child,Access to Care,,,,H9DD,
301,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,,H9DD,
302,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H4FC,
303,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H3DB,
304,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,Y4AM1,
305,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,H3DB,
306,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,Y4AM1,
307,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DB,
308,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DC,
309,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DD,
310,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DE,
311,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DK,
312,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF,
313,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF1,
314,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DG,
315,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH,
316,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ,
317,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DL,
318,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FG,
319,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FH,
320,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FG,
321,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FH,
322,2186_210,PCMH-Child,Follow-Up On Test Results,,,,H4FC,
323,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DB,
324,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DC,
325,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DD,
326,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DE,
327,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DK,
328,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DG,
329,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DJ,
330,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DL,
331,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DF1,
332,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DH,
333,2186_210,PCMH-Child,Provider’s Advice on Keeping Your Child Safe and Healthy,,,,Y3DF,
334,2186_210,PCMH-Child,Access to Care,,,,H9DD,
335,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,,H9DD,
336,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H4FC,
337,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,H3DB,
338,2186_210,PCMH-Child,PCMH - Coordination of Care,,,,Y4AM1,
339,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,H3DB,
340,2186_210,PCMH-Child,Attention to Care from Other Providers,,,,Y4AM1,
341,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DB,
342,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DC,
343,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DD,
344,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DE,
345,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,,Y3DK,
346,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF,
347,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DF1,
348,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DG,
349,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH,
350,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ,
351,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DL,
352,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FG,
353,2186_210,PCMH-Child,PCMH - Self Management Support,,,,Y3FH,
354,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FG,
355,2186_210,PCMH-Child,Providers Support You in Taking Care of Your Child's Health (PCMH),,,,Y3FH,
356,2186_210,PCMH-Child,Follow-Up On Test Results,,,,H4FC,
357,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DB,
358,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DC,
359,2186_210,PCMH-Child,Provider’s Attention to Your Child’s Growth and Development,,,,Y3DD,
