,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES
205,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
206,2179_156,PCMH-Adult,,Access To Care (PCMH),,,
207,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
208,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
209,2172_156,PCMH-Adult,,Access To Care (PCMH),,,
210,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
211,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
212,2172_156,PCMH-Adult,,Access To Care (PCMH),,,
213,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
214,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
215,2172_156,PCMH-Adult,,Access To Care (PCMH),,,
216,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
217,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
218,2172_156,PCMH-Adult,,Access To Care (PCMH),,,
219,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
220,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,
221,2172_156,PCMH-Adult,,Access To Care (PCMH),,,
222,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
223,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
224,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
225,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,
226,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,
227,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,
228,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,
229,2186_210,PCMH-Child,,Access To Care (PCMH),,,
230,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
231,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,
232,2186_210,PCMH-Child,,Access To Care (PCMH),,,
233,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
234,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,
235,2186_210,PCMH-Child,,Access To Care (PCMH),,,
236,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
237,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,
238,2186_210,PCMH-Child,Communication - Child Only,,,y3n,
239,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,
240,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,
241,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,
242,2186_210,PCMH-Child,Communication - Child Only,,,y3n,
243,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,
244,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,
245,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,
246,2186_210,PCMH-Child,Communication - Child Only,,,y3n,
247,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,
248,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,
249,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,
250,2186_210,PCMH-Child,Access to Care,,,h9dd,
251,2186_210,PCMH-Child,Access to Care,,,h9dd,
252,2186_210,PCMH-Child,Access to Care,,,h9dd,
253,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
254,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
255,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
256,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
257,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,
258,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
259,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
260,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,
261,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
262,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
263,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,
264,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
265,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,
266,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
267,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,
268,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
269,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,
270,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
271,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
272,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
273,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
274,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
275,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
276,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
277,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
278,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
279,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
280,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
281,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
282,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
283,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
284,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
285,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
286,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
287,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
288,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
289,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
290,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
291,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
292,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
293,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
294,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
295,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
296,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
297,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
298,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,
299,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,
300,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,
301,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dh,
302,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dj,
303,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dl,
304,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fg,
305,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fh,
306,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fg,
307,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fh,
308,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fg,
309,2186_210,PCMH-Child,PCMH - Self Management Support,,,y3fh,
310,2352_178,PCMH-Child,,Access To Care (PCMH),,,
311,2352_178,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
312,2352_178,PCMH-Child,,Information About Care and Appointments (PCMH),,,
313,2352_178,PCMH-Child,Access to Care,,,,H9DD
314,2352_178,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,,H9DD
315,2352_178,PCMH-Child,Communication - Child Only,,,y3n,
316,2352_178,PCMH-Child,Communication - Child Only,,,h3jc,
317,2352_178,PCMH-Child,Communication - Child Only,,,h3oc,
318,2352_178,PCMH-Child,Communication - Child Only,,,y3nf,
319,2352_178,PCMH-Child,Access to Care,,,h9dd,
320,2352_178,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
321,2352_178,PCMH-Child,Attention to Care from Other Providers,,,h3db,
322,2352_178,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
323,2186_178,PCMH-Child,,Access To Care (PCMH),,,
324,2186_178,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
325,2186_178,PCMH-Child,,Information About Care and Appointments (PCMH),,,
326,2186_178,PCMH-Child,,Access To Care (PCMH),,,
327,2186_178,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
328,2186_178,PCMH-Child,,Information About Care and Appointments (PCMH),,,
329,2186_178,PCMH-Child,,Access To Care (PCMH),,,
330,2186_178,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,
331,2186_178,PCMH-Child,,Information About Care and Appointments (PCMH),,,
332,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH
333,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ
334,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH
335,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ
336,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DH
337,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,,Y3DJ
338,2186_178,PCMH-Child,Communication - Child Only,,,y3nf,
339,2186_178,PCMH-Child,Communication - Child Only,,,h3jc,
340,2186_178,PCMH-Child,Communication - Child Only,,,h3oc,
341,2186_178,PCMH-Child,Communication - Child Only,,,y3n,
342,2186_178,PCMH-Child,Communication - Child Only,,,y3nf,
343,2186_178,PCMH-Child,Communication - Child Only,,,h3jc,
344,2186_178,PCMH-Child,Communication - Child Only,,,h3oc,
345,2186_178,PCMH-Child,Communication - Child Only,,,y3n,
346,2186_178,PCMH-Child,Communication - Child Only,,,y3nf,
347,2186_178,PCMH-Child,Communication - Child Only,,,h3jc,
348,2186_178,PCMH-Child,Communication - Child Only,,,h3oc,
349,2186_178,PCMH-Child,Communication - Child Only,,,y3n,
350,2186_178,PCMH-Child,Access to Care,,,h9dd,
351,2186_178,PCMH-Child,Access to Care,,,h9dd,
352,2186_178,PCMH-Child,Access to Care,,,h9dd,
353,2186_178,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
354,2186_178,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
355,2186_178,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,
356,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
357,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h3db,
358,2186_178,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
359,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
360,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h3db,
361,2186_178,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
362,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h4fc,
363,2186_178,PCMH-Child,PCMH - Coordination of Care,,,h3db,
364,2186_178,PCMH-Child,PCMH - Coordination of Care,,,y4am1,
365,2186_178,PCMH-Child,Attention to Care from Other Providers,,,h3db,
366,2186_178,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
367,2186_178,PCMH-Child,Attention to Care from Other Providers,,,h3db,
368,2186_178,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
369,2186_178,PCMH-Child,Attention to Care from Other Providers,,,h3db,
370,2186_178,PCMH-Child,Attention to Care from Other Providers,,,y4am1,
371,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
372,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
373,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
374,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
375,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
376,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
377,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,
378,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,
379,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,
380,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,
381,2186_178,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,
