,SURVID_SURVTYPE,SURVDEF,CATEGORY,MISSING_CAT,MISSING_QUES,ADDITIONAL_QUES,DUPLICATE_QUES,NOTES
206,2126_25,ASC-CAHPS,FACILITY,,,h6aa,,
207,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h8a,,
208,2126_25,ASC-CAHPS,DISCHARGE/OUTCOME,,,h7x,,
209,2126_25,ASC-CAHPS,Overall Rating,,,h30,,
210,2126_25,ASC-CAHPS,Would Recommend,,,h17,,
211,1982_13,No reference,Before Your Arrival,,,h1mp,,
212,1982_13,No reference,Overall Ratings,,,h14,,
213,2809_184,ACO-8-CAHPS,,Health Promotion and Education,,,,
214,2809_184,ACO-8-CAHPS,"Helpful, Courteous, And Respectful Office Staff",,,h69h,,
215,2809_184,ACO-8-CAHPS,"Helpful, Courteous, And Respectful Office Staff",,,h69c,,
216,2593_184,ACO-8-CAHPS,,Health Promotion and Education,,,,
217,2593_184,ACO-8-CAHPS,"Helpful, Courteous, And Respectful Office Staff",,,h69h,,
218,2593_184,ACO-8-CAHPS,"Helpful, Courteous, And Respectful Office Staff",,,h69c,,
219,2595_184,ACO-12-CAHPS,,Access to Specialists,,,,
220,2595_184,ACO-12-CAHPS,,Health Promotion and Education,,,,
221,2595_184,ACO-12-CAHPS,,"Helpful, Courteous, and Respectful Office Staff",,,,
222,2595_184,ACO-12-CAHPS,,Care Coordination (ACO 12),,,,
223,2595_184,ACO-12-CAHPS,,Stewardship of Patient Resources,,,,
224,2595_184,ACO-12-CAHPS,Care Coordination,,,h63dm,,
225,2595_184,ACO-12-CAHPS,Care Coordination,,,h64fc,,
226,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63dm,,
227,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h61da,,
228,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h61db,,
229,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h69da,,
230,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h69db,,
231,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,d61da,,
232,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h65dd,,
233,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63j,,
234,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63o,,
235,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63ff,,
236,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63d,,
237,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4pp,,
238,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4ppn,,
239,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4am,,
240,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y64ao,,
241,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4ts,,
242,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4tsn,,
243,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y4tsb,,
244,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,y64bw,,
245,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63cs,,
246,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h63aa,,
247,2419_184,Totally Custom,Your Care From This Provider in the Last 6 Months,,,h64fc,,
248,2419_184,Totally Custom,Helping You Take Medications as Directed,,,h64ao,,
249,2419_184,Totally Custom,Helping You Take Medications as Directed,,,y4ao1,,
250,2419_184,Totally Custom,Helping You Take Medications as Directed,,,y64a1,,
251,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
252,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
253,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
254,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
255,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
256,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
257,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
258,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
259,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
260,2179_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
261,2179_156,PCMH-Adult,,Access To Care (PCMH),,,,
262,2179_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
263,2179_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
264,2179_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
265,2179_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
266,2179_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
267,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
268,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
269,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
270,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
271,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
272,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
273,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
274,2179_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
275,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
276,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
277,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
278,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
279,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
280,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
281,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
282,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
283,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
284,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
285,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
286,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
287,2172_156,PCMH-Adult,,Providers Discuss Medication Decisions (PCMH),,,,
288,2172_156,PCMH-Adult,,Access To Care (PCMH),,,,
289,2172_156,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
290,2172_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
291,2172_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
292,2172_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
293,2172_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
294,2172_156,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
295,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
296,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
297,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
298,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
299,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
300,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
301,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
302,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
303,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
304,2172_156,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
305,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
306,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
307,2165_165,PCMH-Adult,,Information About Care and Appointments (PCMH),,,,
308,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
309,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
310,2165_165,PCMH-Adult,Access To Care (PCMH),,d1de,,,
311,2165_165,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
312,2165_165,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
313,2165_165,PCMH-Adult,Follow-Up On Test Results,,,h4fc,,
314,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
315,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
316,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
317,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
318,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9h,,
319,2165_165,PCMH-Adult,"Helpful, Courteous, And Respectful Office Staff",,,h9c,,
320,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
321,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
322,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
323,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
324,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
325,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
326,2186_210,PCMH-Child,,Access To Care (PCMH),,,,
327,2186_210,PCMH-Child,,Attention to Care from Other Providers (PCMH),,,,
328,2186_210,PCMH-Child,,Information About Care and Appointments (PCMH),,,,
329,2186_210,PCMH-Child,Communication - Child Only,,,y3n,,
330,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,,
331,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,,
332,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,,
333,2186_210,PCMH-Child,Communication - Child Only,,,y3n,,
334,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,,
335,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,,
336,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,,
337,2186_210,PCMH-Child,Communication - Child Only,,,y3n,,
338,2186_210,PCMH-Child,Communication - Child Only,,,h3jc,,
339,2186_210,PCMH-Child,Communication - Child Only,,,h3oc,,
340,2186_210,PCMH-Child,Communication - Child Only,,,y3nf,,
341,2186_210,PCMH-Child,Access to Care,,,h9dd,,
342,2186_210,PCMH-Child,Access to Care,,,h9dd,,
343,2186_210,PCMH-Child,Access to Care,,,h9dd,,
344,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,,
345,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,,
346,2186_210,PCMH-Child,"Getting Timely Appointments, Care, and Information",,,h9dd,,
347,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,,
348,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,,
349,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,,
350,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,,
351,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,,
352,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,,
353,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h4fc,,
354,2186_210,PCMH-Child,PCMH - Coordination of Care,,,h3db,,
355,2186_210,PCMH-Child,PCMH - Coordination of Care,,,y4am1,,
356,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,,
357,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,,
358,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,,
359,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,,
360,2186_210,PCMH-Child,Attention to Care from Other Providers,,,h3db,,
361,2186_210,PCMH-Child,Attention to Care from Other Providers,,,y4am1,,
362,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,,
363,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,,
364,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,,
365,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,,
366,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,,
367,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,,
368,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,,
369,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,,
370,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,,
371,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,,
372,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3db,,
373,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dc,,
374,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dd,,
375,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3de,,
376,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Developmental,,,y3dk,,
377,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df,,
378,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3df1,,
379,2186_210,PCMH-Child,PCMH - Comprehensiveness/Whole Person Care — Child Prevention,,,y3dg,,
